zip,county,division,region
02332,Plymouth,MA2RI,Northeast
02333,Plymouth,MA2RI,Northeast
02334,Bristol,MA2RI,Northeast
02337,Plymouth,MA2RI,Northeast
02338,Plymouth,MA2RI,Northeast
02339,Plymouth,MA2RI,Northeast
02340,Plymouth,MA2RI,Northeast
02341,Plymouth,MA2RI,Northeast
02343,Norfolk,MA2RI,Northeast
02344,Plymouth,MA2RI,Northeast
02345,Plymouth,MA2RI,Northeast
02346,Plymouth,MA2RI,Northeast
02347,Plymouth,MA2RI,Northeast
02348,Plymouth,MA2RI,Northeast
02349,Plymouth,MA2RI,Northeast
02350,Plymouth,MA2RI,Northeast
02351,Plymouth,MA2RI,Northeast
02355,Plymouth,MA2RI,Northeast
02356,Bristol,MA2RI,Northeast
02357,Bristol,MA2RI,Northeast
02358,Plymouth,MA2RI,Northeast
02359,Plymouth,MA2RI,Northeast
02360,Plymouth,MA2RI,Northeast
02361,Plymouth,MA2RI,Northeast
02362,Plymouth,MA2RI,Northeast
02364,Plymouth,MA2RI,Northeast
02366,Plymouth,MA2RI,Northeast
02367,Plymouth,MA2RI,Northeast
02368,Norfolk,MA2RI,Northeast
02370,Plymouth,MA2RI,Northeast
02375,Bristol,MA2RI,Northeast
02379,Plymouth,MA2RI,Northeast
02381,Plymouth,MA2RI,Northeast
02382,Plymouth,MA2RI,Northeast
02420,Middlesex,MA1,Northeast
02421,Middlesex,MA1,Northeast
02445,Norfolk,MA2RI,Northeast
02446,Norfolk,MA2RI,Northeast
02447,Norfolk,MA2RI,Northeast
02451,Middlesex,MA1,Northeast
02452,Middlesex,MA1,Northeast
02453,Middlesex,MA1,Northeast
02454,Middlesex,MA1,Northeast
02455,Middlesex,MA1,Northeast
02456,Middlesex,MA1,Northeast
02457,Norfolk,MA2RI,Northeast
02458,Middlesex,MA1,Northeast
02459,Middlesex,MA1,Northeast
02460,Middlesex,MA1,Northeast
02461,Middlesex,MA1,Northeast
02462,Middlesex,MA1,Northeast
02464,Middlesex,MA1,Northeast
02465,Middlesex,MA1,Northeast
